,index,date,comments
1461,458345,2019-10-26,"Anna's place is lovely and she herself is even lovelier, really goes the extra mile as a host. The place itself is lovely and it's nice and quiet at night, which isn't always the case in the big city!"
1462,519827,2021-07-23,The apartment is located in a great spot. The place is very spacious and the communication with Dan is very good.
1463,210847,2019-09-29,"l’ Appartement correspond parfaitement aux photos, il est très propre et très fonctionnel et agréable à vivre. Depuis le lit, on a une magnifique vue sur l’empire state building et le chrysler building côte à côte, c’est assez fou.<br/>Le Rooftop est très bien aménagé et la vue sur Manhattan est royale."
1464,853158,2021-08-31,"I had an incredible 2 month stay at Robert’s place! Check in process was smooth, and Rob was  very reliable with his responses regarding any questions I had about the apartment.<br/><br/>I enjoyed the location as it was a 30 second walk to the Q and close to many amazing restaurants. The apartment itself was stocked with everything I could need, an amazing TV in the living room, fully updated bathroom, and very comfy bed. <br/><br/>Rob was a great host and I am already looking forward to my next trip to the city."
1465,805468,2021-06-15,Very nice welcoming host. A good value.
1466,314946,2020-07-16,An excellent apartment with good amenities and the hosts are very attentive. The neighborhood is nice with close proximity to shopping and the east river. I highly recommend this host and this apartment.
1467,412614,2020-03-10,"Very nice flat, easy late check-in. Kaitlyn was very responsive and she makes sure you feel at home."
1468,810711,2021-06-27,"Zahir was great with communication<br/>They provided all the necessary instructions to get to your room the day of check in. The place was very clean, super close to LGA airport (I think 10-15 min walk), and really comfy. I didn't explore the area around it as it was just a means of walking to the airport the morning after, but the neighborhood was nice and quiet. Would recommend for a quick stop before flying out the next day"
1469,439725,2019-04-09,"Rony's place was exactly what we had hoped for! Super clean, well kept, stylish, quiet, comfortable...all with an awesome view off the balcony. Check in and check out was extremely simple. Rony was always available at any time if we needed anything, super easy to talk to, and was very welcoming. The location was great too because it was just a short  (5-7 minute) walk to the subway or bus line (we used both). We can't wait to go back! :)"
1470,789894,2021-04-23,"Amazing apartment, everything is just like the listing but even better. great location would definitely book again"
1471,713252,2019-04-02,Very clean and quiet space. Mitch was quick with responses and very informative.
1472,755680,2020-02-19,Tusaa was very prompt in responding. The location was great and the checkin was easy.The bedroom had a really comfy bed and the private bath was very much appreciated. <br/>Coffee brewed in  the french press was really great; and a market down the block was perfect!
1473,661599,2020-01-19,Adriana is the perfect host. She gave me a warm welcome and made sure I was well fed :) Her husband made the best coffee and she even taught me how to make arepa! I was happy to learn so much about her culture. Adriana is super kind and patient. She tried to accommodate the best she can. I cannot ask for a better host. Will definitely stay at hers again the next time I visit New York!
1474,783668,2020-03-07,"Great response, lives on premises and will help you get around town if needed. Has parking, and a secured house in a safe neighborhood."
1475,492232,2019-02-04,Excellent
1476,867113,2021-08-08,Mikes a great host awesome stay in the Bronx great experience
1477,576010,2021-11-04,Sam is the epitome of an amazing 11/10 Airbnb experience. I stayed here for almost three weeks and didn’t want to leave! He welcomed me with his sweet dog like he knew me for years and provided fresh bagels + cream cheese regularly - the real New York experience! He is so kind and welcoming along with having a beautiful place right in the heart of the city - I can not recommend this place enough! You are very lucky to stay here with Sam & Joxer!! THANK YOU SAM ❤️
1478,632909,2021-10-10,Lovely place to stay. Very clean and welcoming on the inside. Tami is very kind and an excellent host.
1479,638741,2019-07-01,"Carlos's place was beautiful, clean, accessible and at an amazing location in NYC.Three of us stayed here with plenty of room and everything was very comfortable. It was an amazing place to stay at all by ourselves in a large city, much better than a hotel.  If Carlos's place is available in the future when I am in town I am definitely going to try to book it!"
1480,795675,2020-10-29,Sadie’s place is perfect - a must book!
1481,810682,2021-03-07,"Good place to stay, everything is as described in the listing. Will book again."
1482,720960,2019-07-25,Pros- The place was pretty clean and as expected. The location was great and very convenient. Jp was very quick in responding to any questions. <br/>Cons- My room was on the 5th floor and there is no elevator which is mentioned in the description. <br/>The corridors smelt of smoke from other tenants living in the building.
1483,835617,2021-06-13,great place to stay in NYC! Yvette is very nice!
1484,38799,2021-09-11,This is a great spot to stay in an ideal location about a block away from the L line. The unit is modern and spacious with most of the amenities you'd want for a long-term stay. Mary and Charles were responsive and easy to work with. I would definitely book this location again in the future!
1485,794431,2021-05-06,It was an absolute delight staying with Anthony. I was very available and laid back. He answered questions day and night and even stayed up to allow me to come in late.<br/>The apartment overall is a great Caribbean vibe mixed with an NY flair. <br/>Anthony is a great host and I wish many other host could meet him and take note.
1486,583429,2019-04-24,"No way will you be staying near Madison Square Garden or near a subway station.  If you're arriving at Penn Station (in the same building as the Garden), and you have luggage, prepare for a 15-20 minute walk or else take a taxi.  The walk may be a bit shorter from the 8th Avenue subway stop at Times Square.  <br/>The apartment is a second floor walk-up, with a long, steep flight of stairs but good lighting.  The entire apartment is very clean, and my guest room was quieter than I'd expected.  <br/>The apartment has a shared kitchenette with a sink and refrigerator. <br/>If you're collecting keys left for you at a restaurant nearby,  the place may be closed.   (Not sure whether they'd answer if you called.)  When I arrived at the 11 am check-in time, the restaurant's front door was locked.   Fortunately a workman on the street knocked hard on the restaurant door until someone let me in. <br/>The host, while pleasant over the phone and prompt with email replies, seems not to have understood 100% of my English.  (As a native speaker, I've taught English as a Second Language at Berlitz in Manhattan and Princeton, NJ.)   In writing to the host, it's good to be direct and more specific than you might be otherwise.   The host may not read between the lines, for example, when a request could be assumed but isn't stated as a request.<br/>The host seems to have a weekday job not close to the bnb.   He'd probably appreciate advance notice to bring anything to the apartment, along with a cell phone # to use (if needed) during your stay.   <br/>The bed was clean and comfortable, and the indoor temperature was comfortable for me.  The host supplies no more than two pillows per bed, however.<br/>The only mirror is in the shared bathroom.  If you're rushed and need a mirror (for make-up or whatever), bring your own.  Also bring a device to wake you up, since my guest room at least had no clock.  No Kleenex in the apartment either anywhere that I could find."
1487,771721,2021-09-17,"Nice place, nice owner."
1488,710715,2020-04-30,Love this place will be booking over and over and over lol I feel so much at home
1489,576584,2019-04-15,Cynthia was very sweet and attentive to all my needs. The place was very clean and perfect for my son and I. There were also plenty of food places and local stores close by. There were amazing Jamaican restaurants in the area. I felt safe and would love to stay there again when I return.
1490,13919,2021-08-23,Waynes place is in a good spot for shopping and near the train. Wayne was a wonderful host . He made sure we were comfortable  <br/>and I would stay there again.
1491,778881,2021-09-04,"We stayed here while we went to the US Open tennis tournament in Flushing Queens.  It was very comfortable, had all the amenities we needed, and was close to good restaurants.  Thanks, Jey!"
1492,880948,2021-09-12,"Location was great with restaurants and cafes at your doorstep.  Time Square and Central Park within walking distance.<br/>Dan was great with his communication and replied Instantly to any questions before and during the stay. <br/>The place was very clean, comfortable for 2 or 3 adults and provided towels, shampoo, masks etc. 3rd floor walk up which he shared in his posting. Being NYC and booking somewhere so central, expect it to be busier and can hear some noise from the street but unless you’re staying in a high rise hotel, you should expect this in NYC."
1493,662011,2020-01-06,Great location
1494,711894,2019-06-12,This place was awesome. The space was much bigger then I expected! Beds were super comfy. AC worked well! Lots of closet space and lots of room especially for a Brooklyn apartment! We loved it super clean. Location was great lots of good food close by!  10/10 would stay again. Felt safe and secure. Neighbors were so friendly
1495,828244,2020-10-18,A nice place to stay with a couple of friends that just want a place to sleep. Close to places to eat and things to see.
1496,268590,2021-10-17,"We were staying at John's place for a month , very nice place for a couple. The apartment is very functional and well equipped, dish washer, washing machine ,comfy bed , amazing view and small balcony for morning coffee which is a big bonus. It's located in the Dumbo neighborhood , with a lot of cute bars , restaurants and 10 min walking from the ferry . It's one station apart from Manhattan by F train. John is an excellent host, very responsive and generous. Next time we come to New York we will be happy to stay in John's place again!"
1497,735402,2020-03-01,Great little apartment in a great location in NYC. Very quick with communication!
1498,847234,2021-06-24,"Great location and cozy, homey place with everything you need. Beds were comfortable and mini kitchen and amenities were wonderful. Would definitely stay again!"
1499,539808,2019-05-17,This is a really great little place. Very private. It was veey clean and well organized. Very close to the 7 train...very close. I slept like a baby.
1500,835011,2021-01-10,Erica has a nice place & is a great host! She had everything we needed. I really enjoyed staying here. She also was great with communication and helping if and when I needed something. 10/10!
1501,540342,2019-05-27,Amazing host. Place is really clean and you get quite a big bedroom which is really cozy and relaxing to come back to after a long day of exploring NYC. Subway train really close by too.
1502,42895,2019-09-27,Nice private room in their house. The rest of the space was also very nice. Would stay there (Website hidden by Airbnb) was very responsive and  everything went very smoothly.
1503,402081,2021-11-26,"Aleksandra is an amazing host. <br/>Location is great, close to Prospect Park and Subway Q.<br/>Highly recommended."
1504,609459,2019-04-25,"El alojamiento es tal y como está descrito en la aplicación. La cama muy cómoda, todo muy limpio y agradable. El edificio está muy bien ubicado a dos cuadras de la estación del Metro. Es fácil llegar y muy seguro."
1505,435117,2020-03-15,"Simone's place is great. Very quick access to the subway and local shops. The room is large and clean, as is the bathroom. Simone is very kind and easy going. Had a lot of fun staying at her place!"
1506,745194,2019-09-21,Great location and perfect for the price.
1507,441607,2020-02-08,"Great location, great host, and wonderful experience throughout. Dominique has a wonderful and unique property. Convenient to LaGuardia, the N and W trains, and the Astoria ferry terminal which was GREAT!"
1508,455654,2020-07-07,Great place. Just as described. We loved it!
1509,705395,2019-07-02,Beautiful place. Hosts are very helpful.
1510,546935,2019-06-16,"Very clean space, excellent set up and great location! Juan’s communication was excellent every step of the way. Highly recommended!"
1511,734311,2020-09-08,"Mary and Sam have a lovely spot right in the thick of south slope, close to tons of great restaurants, bars, and coffee shops in the neighborhood. My mom recently had a lovely stay there, and they couldn't have been nicer!"
1512,655894,2019-11-03,"Raj was an excellent host! I needed a last minute, late check in and he made sure I was taken care of. His place is convenient to everything! Will definitely stay again"
1513,265393,2019-10-08,"Over it was a great place to stay! It’s a convenient location, a few minutes away from the subways that take you straight into the city."
1514,144430,2019-09-18,We really enjoy being at Skippy's house.  He is very considerate and kind.  Your cats are very cute.  It was a unique and special experience.  Your Brooklyn home is in a great location.  Thank you friend Skippy.
1515,857802,2021-04-15,calm relaxing
1516,837728,2021-05-02,Amazing balcony space overlooking the park and overall perfect location!
1517,661488,2019-04-17,"Die Unterkunft ist durch ihre Lage sehr vorteilhaft. Im Grunde muss man nur einmal die Straße überqueren, um zu einem halbwegs vernünftigen Einkaufsmarkt und zur Straßenbahn zu kommen. Die Bahn führt auch direkt nach Manhattan und man ist in ca 25 Minuten mittendrin.<br/>Diese Bahn ist allerdings auch nicht gerade leise, hat und allerdings nicht gestört. Sollte man nur wissen.<br/>Ein eigenes Bad ist natürlich super, aber es könnte eine Renovierung vertragen.<br/>Anton selbst haben wir nur kurz am Abreisetag getroffen, ansonsten eine Mitbewohnerin, die aber eher unauffällig war.<br/>Check In problemlos über eine Lockbox.<br/>Alles in allem genügt diese Unterkunft jedenfalls für einen guten, günstigen Aufenthalt, um NYC einige Tage zu erkunden, ohne viel Schnickschnack und Luxus."
1518,302285,2020-06-18,"We enjoyed our stay at Emmanuelle’s place. The bedroom was very tranquil, with lots of natural light and large curtains in case we wanted it dark. Having a private bathroom was an excellent amenity. The balcony right outside the bedroom was lovely. The other guest bedroom has access to it as well but there’s more than enough room to share or have one side to yourself.<br/><br/>Emmanuelle was very welcoming and offered coffee/tea as well as other kitchen supplies for preparing meals. We would totally stay here again."
1519,637868,2021-08-02,"Great Place to stay close the waterfront, we’re you get a fantastic view of the city."
1520,858443,2021-06-27,"The listing was clean and comfortable. Perfect  size, great location and fairly priced! Ann Marie was communicable. I would stay here again!"
1521,721819,2021-10-11,"We didn't get a chance to stay due to massive and continued cancellations by Southwest but what remains true is that both Vanessa and Andrew went above and beyond to answer any and all queries, understand and empathize with our situation, accommodate our dates by adding an extra day. It is a different story altogether that we got our rescheduled flights (even the connecting ones) canceled as well. It was at that time we call it quits."
1522,706792,2019-09-19,"Very cozy place, quiet, the bed is really good I could sleep very well. It is walkable from Subway station."
1523,686460,2021-03-09,I felt so comfortable in Linda's apartment that I would love to live there full time.  It was pristine and had everything I needed.  The location is perfect between two subway lines and I felt safe in the neighborhood no matter the time.  Linda was very responsive and checked in just to make sure everything was going well.  Extremely thoughtful.  I would stay here again and again and again.  I highly recommend Linda's lovely place.
1524,311096,2021-03-19,"Amazing, very clean, very homey, and comfortable."
1525,786149,2020-08-29,Muy buen lugar todo me encantó
1526,795318,2020-07-14,"This is one of the best stays I've had in Brooklyn. Place is awesome, TV's in bedrooms and sitting area. It's clean, stylish and updated appliances. The parking was a definite plus. Area is quiet and close to all your conveniences. I'd definitely recommend anyone to stay here. Delano is very responsive and attentive. ⭐⭐⭐⭐⭐⭐⭐⭐"
1527,637357,2021-06-20,"Good location, clean and well maintained"
1528,471499,2021-01-31,Just enjoy your life :-)
1529,402103,2019-08-18,"Fantastic location close to Prospect Park. Our boys loved the downstairs loft, especially. And the outdoor space was a special treat for summertime evenings. Clean, comfortable, and extremely convenient. Made for a great Brooklyn weekend for our family."
1530,239665,2019-11-21,The location is really great. Walking distance to everything that you will need. The apartment is very stylish and homey too
1531,705731,2019-12-29,This place was so good! It was cute and comfortable. I loved that they had a kitchenette. Laureta was also really fast with communication when I had a few questions. Also loved how close it was to all great bars and activities and the train. Would definitely recommend.
1532,870483,2021-07-15,"This is the perfect place to have a very different kind of NYC stay. We loved everything about it. We struggled a little to get into the marina, but that was just our lack of familiarity with the system. It was fairly easy to figure out. <br/>Very laid back marina. Showers and bathrooms were basic and clean. Almost always empty. People at the marina were friendly and quiet. We really enjoyed the mix of peaceful serenity as we enjoyed a glass of wine on the deck with passing swans contrasted with the huge planes taking off from the airport like rumbling ghosts through the low clouds. It was surreal. <br/>Transport was right outside the marina door. Took the bus to the ferry and enjoyed a nice sail to Southstreet area. <br/>We had everything we needed on the boat and anything extra was easy to get at the market right outside the marina. <br/>Loved our stay. It was relaxed and easy and a very different way to enjoy everything that nyc has to offer with none of the stress."
1533,695738,2019-07-24,"Kind people in a quiet,  beautyful and very good located neighbourhood"
1534,86331,2020-01-06,A nyc basement apartment.
1535,303976,2019-09-06,"Good for those seeking a bed to crash between sightseeing. The property is essentially a hostel, with around 10 rooms of varying sizes, two bathrooms and kitchens, one on each floor. Didnt meet host but she answered questions promptly and fixed the wifi when it went down. Kitchen did not feel clean however but the room was and had good aircon. Good location for subway, R and W train direction to 42nd/Times Sq etc, good for airports too. Host was happy for me to leave bags in kitchen after check out time, which was much appreciated. Thanks again."
1536,579327,2019-06-19,"The place is good, the lady is friendly"
1537,75624,2021-10-13,"Karen seems like a great person.<br/><br/>Her son is very nice helpful and replies instantly to any requests or questions. He recommends nice restaurants in the area.<br/><br/>Their dog is super cute and small, she loves being pet and doesn’t make any noise at all (except for the small coughs every couple of hours).<br/><br/>The description of the house is on point, upper east side is a great place to stay, the place is clean and organized. Its pretty small with very limited space as described by Karen (thats how Manhattan is).<br/><br/>The apartment is quite, no noisy neighbors.<br/><br/>My issue is that Karen was away on vacation, which allows more space for me in the apartment, but unfortunately, her dog was quite upset about being home along all the time (I worked 12-14 hours a day, sometimes more) and although she was walked and fed by Karen’s son, it made sure to poop on the floor almost every single day. I didnt voice my concerns to Karen, but did to her son. Unfortunately, all he did was cleanup after the dog whenever it pooped on the floor. It was horrible waking up to spots of poop on the floor almost every day, with a foul smell. Finally, 2 days prior to me leaving (10 day stay) her son took the dog and kept her in his apartment, but I think the damage was already done.<br/><br/>One small issue with the room, is that if you close the door, open the window and turn the fan on, the room would still be hot, otherwise its a nice place."
1538,169216,2019-10-07,good basic accomodation
1539,100676,2020-11-15,"Definitely if you have a chance to bunk at Wilfredo’s place do so. It’s serene, safe, clean. And the communication was stellar !"
1540,736014,2019-07-06,Great spot in Brooklyn at a great price. Best deal for the space!
1541,830857,2021-03-07,Staying at Joshua was great. I would stay there again.
1542,879134,2021-09-16,"I have been living in Airbnb’s for over 1.5 years…this is far the best Airbnb I have ever experienced!! From the layout to decorations, the peace and relaxation…it’s just phenomenal!"
1543,771542,2020-02-04,"Value for money to stay here.<br/>Excellent hospitality and good location near to subway, market and bus stop for LaGuardia Airport."
1544,458578,2019-01-07,Yves’ place was a cool space Very nice for a basement No parking at all in the area but it was a good area
1545,284356,2019-06-24,Quiet neighborhood and close to the subway if you need to get into the city. Check in was a breeze and I like the extra security with the coded lock on the outside. Free street parking is available. Very cute home!
1546,782566,2019-12-26,"The place is amazing! Everything is super close, it has Times Square two block away, subway station, lot of places to eat around! The best place to stay if you’re visiting NYC"
1547,717215,2019-05-20,Clean space and good hospitality. Would stay here again.
1548,810363,2020-09-23,"Great location and  apartment was very clean.  Marie always answered promptly to any communications.  It was smaller than in the photos but just fine for our needs.   Lots of great restaurants within a few blocks, too!"
1549,795821,2020-01-22,Great host and space
1550,772686,2021-04-16,Nis' spot is very convenient for exploring Brooklyn and the rest of the city. Nearest subway stop is less than two blocks away. Two other subway lines are less than 10 minutes away. Ton of bike share stations and there are greats bars and restaurants on 5th Ave. Nis is quick to answer any questions and check-in was quite easy. Would definitely stay again.
1551,613215,2019-06-16,"Kathryn’s place is such a delight, with very comfortable accommodations, tasteful decorations and everything you could possibly need. I love the roof deck, back patio and neighborhood cats. Most comfortable couch ever! I also enjoyed visiting the Beach 17th concession area, for a nice slice of NY life. Kathryn is a pro - extremely helpful and responsive, and she gets a gold star for installing solar on her home! ☀️"
1552,248975,2019-06-17,"Lovely place, very easy to get around New York from!"
1553,718150,2019-04-22,"Nice fucking place, nice place and warm welcome. For sure, I'll comeback"
1554,294465,2020-01-22,"Roland’s place is a hidden gem located in the heart of Jamaica, Queens. Situated smack dab in the middle of a well-trafficked commercial strip, the private space provides a refuge from the exterior noise. Add the large screen TV (which I did not use) and the complimentary gym, which I frequented, this Airbnb is definitely more than meets the eye. <br/><br/>Bonus: great hospitality by co-host Levi. Thanks guys."
1555,781482,2020-03-02,"We had a great time staying here. We booked late on the same day, and Nicole was super accommodating of that. The room itself is super beautiful and receives a lot of sunlight. It's in a large house with 3 floors. This room is on the third floor along with a living space + kitchen, which we were free to make use of. Everyone was very friendly and we felt really welcome there. Thanks Nicole / Thomas!"
1556,691897,2019-11-10,Great place!
1557,794549,2020-04-20,Great spot!
1558,684305,2020-03-14,Very nice lady
1559,592442,2019-07-22,Paris was a very sweet hostess! she created a quiet and peaceful environment in her home!
1560,309309,2019-07-26,Good place with subway and central park
1561,783999,2019-12-22,Place is a scam won’t let you in takes your money doesn’t give it back
1562,869736,2021-11-21,"Me encanto el apartamento, en esa área hay varias tiendas y lavandería cerca y la estación del tren J está a unas cuadras ese es un gran punto a favor ; el anfitrión fue muy atento y amable"
1563,540517,2019-08-25,"Michelle was very accommodating and kind. Clean and comfortable place, metro is also at walking distance - Very recommended"
1564,507195,2019-07-13,cozy and clean great place.
1565,816492,2020-07-12,"Aleksander’s place is a hidden gem in Brooklyn! The apartment was extremely clean and was welcomed with pleasant fragrance. Neighborhood is safe and quite. Several restaurants, gas station, deli and etc are walking distance from the place. Aleksander is very attentive and relabel host. Communication was clear and very helpful. Home away from home! Enjoyed my stay and will be using this apartment again."
1566,840432,2021-10-04,"A ridiculous amount of space for the money.  Shlomo was attentive and answered any concerns we had extremely quickly.  Close to subway and awesome night life. The nightlife does come with a drawback, the music from a local club is loud on Friday and Saturday nights.   The beds could have been a bit softer, but all and all it was a fabulous space."
1567,699963,2021-04-29,"Such a cozy, well located place! I will never forget the amazing lilac tree on the patio. Heavenly!"
1568,852500,2021-10-11,"Really a perfect spot to go into Brooklyn during the day and come back to Queens at night for dinner and drinks. There are a bunch of great restaurants and bars literally on the same block, and there's a convenience store one minute away. You probably won't need parking, but there is a garage within a four minute walk. The apartment is super clean and spacious, and the provided snacks helped us get through a hectic weekend without having to make pitstops. Heidi was super communicative and clear. Highly recommended."
1569,30281,2019-05-25,"Clean, convenient and great communication!"
1570,409523,2019-11-14,"This was a great apartment for our family of 4. The bathroom was big and it was great to have 2 bedrooms, a kitchen and laundry especially in NYC! Karen also provided a full size crib for our baby! The location was very close to the Q train which got us everywhere we wanted to go quickly. We felt safe in the neighborhood and the apartment was pretty quiet considering the proximity to the hospital. My only issue was that although the windows are huge and let it great light during the day, at night our kids had a hard time falling asleep because the shades on the windows still let in some light even at night. Overall a nice place to stay in NYC if you want some space and still be able to get around easily."
1571,702752,2019-09-26,"The best Airbnb in the world!! Easy to get around the M subway take you directly to downtown Manhattan very clean, great teamwork. New York is amazing so the  place yo have to stay have to be amazing and this place is what it is."
1572,439462,2020-08-26,Convenient location near Prospect Park—great neighborhood. Very easy communication. Would return. A great stay!
1573,312451,2019-10-27,Room could be cleaner and it gets noisy in the morning
1574,870934,2021-07-18,Very attentive and communicated very well.
1575,684387,2021-10-27,"We had a really nice experience visiting. From the beginning, the communication was pleasant and smooth.We are grateful for visiting and hope that we come back in the future. Thanks"
1576,885078,2021-10-05,"Had a little confusion with the room door code/app syncing but after a quick phone call with Jurny we had the door code and no troubles after. Beautifully refurbished building in a former tenement neighborhood. Clean, nicely furnished rooms with everything you need and a TON of restaurants on the same block with outdoor dining patios. (Don't miss Shrimp Linguine at Dudley's.) Easy subway access (F train is closest) so easy to get anywhere in the city fast."
1577,590790,2021-09-13,Not a bad space to stay at all. Accurate description. Glad they had a desk & lots of space to keep belongings. The Place is kept clean. id have to say that the only downside was the awkwardly shaped bathroom & the whole 3 doors with different codes each time situation.
1578,413724,2020-02-19,"Nous avons été très bien accueillis par Shanie. Le studio est spacieux et bien aménagé. <br/>Très bien situé dans le Queens , proche de 2 stations de metro , quartier bien fréquenté. <br/>Mcdo, Wendy’s, Dunkin,  Supermarché a proximité<br/>Séjour parfait<br/>Nous reviendrons"
1579,517525,2020-12-18,Nice cozy apartment.
1580,768322,2019-12-29,"Thank you James, for the nice Appartement! We had a really great time there!"
1581,393403,2019-02-03,"I would highly recommend Andrew’s place. It’s a beautiful room, spacious with big windows and Andrew was a great host. He was very welcoming and flexible! The neighborhood is very accessible and close to the heart of Williamsburg."
1582,709298,2020-01-05,The home was absolutely beautiful and the bedrooms were so comfortable. Our favorite part was the living room! It was so spacious and perfect for us.
1583,655210,2021-08-14,Had a great stay!
1584,788174,2021-11-11,Great value and a great location!
1585,465513,2021-06-09,Great location and lots of space.
1586,681452,2019-06-27,"Room even bigger then on picture, all are clean and nice in this flat. I was cooking food there for economize our budget, Victor has all necessary stuffs. Also he asked if we want to clean our cloths or smthng in laundry (next door in same house). Location is very good, 5 min walk to many subway lines, 10 min walk to river. Good food stores, Target n other shops are near this flat, also café n bars. Our stay was very nice. I highly recommend this place for stay in NYC!!!"
1587,849880,2021-08-04,"The location is great and literally walking distance from plenty of restaurants and bars and shopping, my only complaint is that this listing says it’s a king size bed but it’s actually a queen which was a slight inconvenience when your partner isn’t a small person."
1588,645256,2019-07-24,Nice house but noise
1589,26717,2020-11-01,"Great location if you’re looking for the “authentic” NYC experience. Apartment is decent, could absolutely be cleaner and is in need of a few more amenities for long stays (hand towels, bath towels, toilet paper, etc). Jessica is very nice and is prompt in her responses if you need anything. Overall, good spot if you want to live like a local and enjoy a great neighborhood."
1590,491702,2019-07-10,"Erica hat uns noch spät abends herzlich persönlich empfangen. Die separate Wohnung im Obergeschoss ihres Hauses ist sehr geräumig, herzlich eingerichtet und sehr sauber. Man findet alles, was man braucht, wir haben uns in der Wohnung sehr wohl gefühlt. Sie liegt nur 50m von der Hochbahn entfernt, der Endstation der roten Linie 3. Allein die Umgebung war für uns gewöhnungsbedürftig, aber man ist in 45 min in der Innenstadt. Das Preis-Leistungsverhältnis war für uns 5 sehr gut."
1591,776384,2021-10-24,good place to stay!
1592,867648,2021-08-22,Excellent location! Friendly staff! Quiet room!
1593,592946,2019-09-01,I booked last min for my trip during Electric Zoo weekend. The first primary i booked this place is because the the cleanliest of it. It is very to get to and find. Everything is super clean with this place. I would love to stay here again whenever i’m visiting New York again.
1594,821555,2020-08-24,"Location was good. Place was clean, simple and comfortable. Would stay there again if opportunity is presented."
1595,821775,2020-10-19,Looks just like the pictures
1596,355210,2019-10-02,"We had a marvelous reunion trip to Brooklyn. Staying at Gary’s place was perfect. Lovely setting. Comfortable bed and chairs, quiet Brooklyn neighborhood near fantastic restaurants and coffee houses. I’d stay here again and recommend it highly. Thanks Gary"
1597,356946,2019-11-10,"Steve’s place was lovely, super clean, and in just about the best location you could ask for if you want to use the ferry! Steve was also quick to answer any of our questions and give us tips about local food options, highly recommend for anyone staying in Brooklyn."
1598,694823,2020-07-30,Great stay !
1599,122243,2020-01-16,Samuel was a great host and the home was very clean. I would definitely stay here again when visiting.
1600,122253,2021-07-27,Samuel is a great host and the location is great for the value just a few min walk to subways stops. Room is upstairs decent size and bathroom tub is a little high with windows always open with view from neighbors. No curtains to close it. just be aware. The air conditioning is a little loud. have to plug in and out of outlet to use. Just be mindfull host is always there and open to small talk.
1601,686580,2019-11-03,"I highly recommend staying here. The location is superb, the space is sparkling clean, quiet, and extremely comfortable, and there were many thoughtful touches and little things that made it a delight to be there. Liam was very flexible and helpful responding to my questions , which made it much easier for us to plan ahead. I would definitely stay here again."
1602,845758,2021-10-22,Great stay
1603,829828,2021-10-06,Listing is as advertised. Great location in Brooklyn. Quiet neighborhood. Apt is clean and spacious. Ivan is a great host.
1604,686986,2020-01-09,"Great location! Very quiet area, yet still really close to Times Square. The staff was very friendly and let us drop our bags off before our check-in time. They also allowed us to keep our bags at the hotel past check-out time, which was greatly appreciated. The space was clean and comfortable. Would stay here again! Thank you! :-)"
1605,175942,2021-03-03,"Muchas gracias por la cómoda estadía en Nueva York. La pieza es genial, muy cerca de todo y el servicio que entrega Marco es simplemente perfecto. Tenía absolutamente todo preparado y pensado para viajeros lo cual se agradece. Nos ayudó en los planes de nuestros días y siempre estuvo atento a cualquier necesidad que tuviéramos. Si volviera a la ciudad definitivamente me volvería a alojar donde Marco! "
1606,669348,2019-05-27,"Great place! Would definitely recommend. Great hosts and very responsive, one thing I would say is that it’s a little bit away from the nearest subway station...but if you live here for more than 3 days you’ll get used to it. Otherwise good place to stay!"
1607,618737,2020-12-23,"We spent a couple nights in Michael's apartment, great space, awesome location and Michael was very responsive and hospitable! I totally recommend."
1608,667457,2019-01-10,"Really nice and elegant loft. Enjoyed staying there, and would definitely do som again."
1609,825377,2020-10-11,Great value for money.<br/>Very clean and kept up.
1610,757914,2019-12-28,Liz is a wonderful host. We had a great time at her apartment which is very cute and conveniently located just a few minutes away from a subway station.
1611,335333,2019-02-22,Recommend ede
1612,192929,2019-07-13,The apartment is great and very clean! And the backyard fantastic! There is fireflies on the evening. It s really well located. The subway is 2 min walking from the apartment. We loved the area! And Monica and Federico were really nice and available before and during the stay. We ll miss their flat and hope to come back there when we ll back in New York! Highly recommended!
1613,753748,2020-02-09,"Very clean,stylish spot near lots of different restaurants. Within walking distance of many activities. Great bathroom"
1614,817529,2021-02-17,"Booked before and would definitely book again, great stay!"
1615,473327,2019-11-11,"Lovely place in a quiet Brooklyn street. Great amenities, clean and an attentive host."
1616,811868,2021-05-14,"Great place to stay! Christian is great at communicating and answering any questions. The location is in walking distance from some nice restaurants, coffee shops, and stores."
1617,769630,2019-12-21,Absolutely awesome room and stay.
1618,636124,2019-06-30,We had a wonderful stay.  Very convenient to some wonderful restaurants and an easy walk to the train.  The apartment was very comfortable on some really hot and humid days.  It was just what we were looking for when we visited our son who lives in the neighborhood.
1619,719946,2019-08-04,Jamie's place was perfect for my friends and I when we visited NYC! The apartment was clean and exactly what is advertised. It is also in an amazing location; my friends and I had a super pleasant walk to the apartment from the Times Square area.
1620,744362,2020-02-18,This place is world class and the owner’s Hanya and Dan are world class as well.
1621,394478,2020-03-03,Everything was just as pictured and location was great.
1622,740770,2020-09-27,"Exelent place , always clean and great host comunication"
1623,273611,2019-05-02,"Great place to stay in NY for couple of nights or longer. You basically be have Your own apartment to your disposal. Everything was exactly as described in the offer, so You know exactly what to expect.<br/>I highly recommend Katja's Brooklyn place to stay."
1624,469638,2019-09-01,Impecable
